施設名,住所,休館・利用休止期間（始）,休館・利用休止期間（終）,開館・利用開始日,問い合わせ先（部署名）,問い合わせ先（電話番号）,備考
札幌市豊平川さけ科学館,北海道札幌市南区真駒内公園2-1,2020-4-14,2020-6-1,2020-6-2,札幌市豊平川さけ科学館,011-582-7555,6月1日は通常休館日。さかな館は天候に応じて休館の場合あり。
エドウィン・ダン記念館,北海道札幌市南区真駒内泉町1丁目6,2020-4-14,2020-5-31,2020-6-1,エドウィン・ダン記念館,011-581-5064,
南老人福祉センター,北海道札幌市南区石山78-68,2020-3-2,2020-6-18,2020-6-19,南老人福祉センター,011-591-3100,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
保養センター駒岡,北海道札幌市南区真駒内600-20,2020-3-2,2020-6-15,2020-6-16,保養センター駒岡,011-583-8553,宿泊・休憩（個人）、レストラン、パークゴルフ場等のみ一部再開します。宿泊・休憩（団体）、教養講座、囲碁、麻雀、ビリヤード、カラオケ等は引き続き休止します。
藤野野外スポーツ交流施設（フッズスノーエリア）,北海道札幌市南区藤野473番地1,-,2020-5-31,2020-6-1,藤野野外スポーツ交流施設,011-591-8111,BBQコーナーは利用休止
旧黒岩家住宅（旧簾舞通行屋）,北海道札幌市南区簾舞1条2丁目4-15,2020-4-14,2020-6-1,2020-6-2,旧黒岩家住宅（旧簾舞通行屋）,011-596-2825,6月1日（月曜日）は通常休館日。
アイヌ文化交流センター（サッポロピリカコタン）,北海道札幌市南区小金湯27番地,2020-4-14,2020-6-1,2020-6-2,札幌市アイヌ文化交流センター,011-596-5961,6月1日は休館日。当面の間、団体予約は200名まで。
藻岩山登山者休憩所,北海道札幌市南区北ノ沢1956番地　藻岩山山頂,-,未定,-,経済観光局観光・MICE推進部,011-211-2376,当面の間トイレのみ利用可能
中央地区リサイクルセンター,北海道札幌市南区南30条西8丁目7-1（中央清掃事務所敷地内）,2020-5-7,2020-5-31,2020-6-1,札幌リユースプラザ,011-375-1133,一般資源物（古着・古布）の受入は当面の間、停止する。
真駒内公園（屋内競技場）,北海道札幌市南区真駒内公園1-1,2020-4-14,2020-5-31,2020-6-1,真駒内公園（屋内競技場）,011-581-1961,※北海道の所管する施設　トレーニングルームは準備中
真駒内公園（屋外競技場）,北海道札幌市南区真駒内公園3-1,2020-4-14,2020-5-31,2020-6-1,真駒内公園（屋外競技場）,011-581-1972,※北海道の所管する施設
身体障害者福祉センター,北海道札幌市西区二十四軒2条6丁目1-1,2020-2-27,未定,-,身体障害者福祉センター,011-641-8850,
西健康づくりセンター,北海道札幌市西区八軒1条西1丁目7-7,2020-2-28,2020-6-15,2020-6-16,保健福祉局保健所健康企画課,011-622-5153,6月16日からトレーニング室を再開（教室は引き続き休止）
西区体育館・温水プール,北海道札幌市西区発寒5条8丁目,2020-4-14,2020-5-31,2020-6-1,西区体育館・温水プール,011-662-2149,一般開放は、6月16日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
宮の沢屋内競技場,北海道札幌市西区宮の沢490番地,2020-4-14,2020-5-31,2020-6-1,宮の沢屋内競技場,011-664-6363,一般開放は、6月16日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
札幌市生涯学習センター,北海道札幌市西区宮の沢1条1丁目1-10,2020-4-14,2020-5-31,2020-6-1,生涯学習センター,011-671-2200,貸室の利用人数制限（100人以下かつ定員の50％以下）人数上限は段階的に緩和予定。
札幌市リサイクルプラザ,北海道札幌市西区宮の沢1条1丁目1-10　札幌市生涯学習総合センター1階,2020-4-14,2020-5-31,2020-6-1,札幌市リサイクルプラザ,011-671-4153,一部資源物（古着・古布）の受入は当面の間、停止する。6月19日以降の教室・講座は、感染症対策等を講じたうえで再開する。
視聴覚センター,北海道札幌市西区宮の沢1条1丁目1-10（札幌市生涯学習センター内）,2020-4-14,2020-5-31,2020-6-1,視聴覚センター,011-671-3425,
農試公園ツインキャップ,北海道札幌市西区八軒5条西6丁目,2020-4-14,2020-5-31,2020-6-1,農試公園,011-615-3680,一般開放は、6月15日（月曜日）から再開
西老人福祉センター,北海道札幌市西区二十四軒4条3丁目4-1,2020-3-2,2020-6-18,2020-6-19,西老人福祉センター,011-641-4001,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
宮の沢若者活動センター,北海道札幌市西区宮の沢1条1丁目1-10札幌市生涯学習総合センター1階,2020-3-2,2020-5-31,2020-6-1,宮の沢若者活動センター,011-671-4111,貸室は利用人数上限を設定
ターミナルプラザことにパトス,北海道札幌市西区琴似1条4丁目　 地下鉄琴似地下2階,2020-3-18,未定,-,ターミナルプラザことにパトス,011-612-8383,
新川水再生プラザ内運動施設（野球場、テニスコート、パークゴルフ場）,北海道札幌市西区八軒9条西7丁目16-14,2020-4-14,2020-5-31,2020-6-1,野球場、テニスコート：新川水処理センター、パークゴルフ場：西区維持管理課,野球場、テニスコート：新川水処理センター（011-611-5314）、パークゴルフ場：西区維持管理課（011-667-3201）,
琴似屯田兵村兵屋跡,北海道札幌市西区琴似2条5丁目,2020-4-14,2020-5-31,2020-6-1,琴似屯田兵村兵屋跡,011-621-1988,
手稲記念館,北海道札幌市西区西町南21丁目3-10,2020-4-14,2020-5-31,2020-6-1,手稲記念館,011-661-1017,貸室は利用人数に一部制限あり
西地区リサイクルセンター,北海道札幌市西区二十四軒4条1丁目5番JR高架下,2020-5-7,2020-5-31,2020-6-1,札幌市リユースプラザ,011-375-1133,一部資源物（古着・古布）の受け入れは当面の間、停止する。
手稲区体育館,北海道札幌市手稲区曙2条1丁目,2020-4-14,2020-5-31,2020-6-1,手稲区体育館,011-684-0088,一般開放は、6月15日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
星置スケート場,北海道札幌市手稲区星置2条1丁目,2020-4-14,2020-5-31,2020-6-1,星置スケート場,011-681-8877,一般開放は、6月15日から再開※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
手稲老人福祉センター,北海道札幌市手稲区曙2条1丁目2-55,2020-3-2,2020-6-18,2020-6-19,手稲老人福祉センター,011-684-3131,ロビー開放、生活相談事業、健康相談事業等のみ一部再開します。教養講座、サークル活動、囲碁、卓球、浴室、機能回復訓練室等は引き続き休止します。
手稲曙温水プール,北海道札幌市手稲区曙2条1丁目2-60,2020-4-14,2020-5-31,2020-6-1,手稲曙温水プール,011-683-0676,一般開放は、6月15日から再開※「コース予定表」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
手稲水再生プラザ内運動施設（野球場、テニスコート、パークゴルフ場）,北海道札幌市手稲区手稲山口265-8,-,2020-5-31,2020-6-1,野球場、テニスコート：新川水処理センター、パークゴルフ場：手稲区地域振興課,野球場、テニスコート：新川水処理センター（011-611-5314）、パークゴルフ場：手稲区地域振興課（011-681-2445）,
ていねプール,北海道札幌市手稲区前田1条5丁目,,,営業中止,,,令和2年度の営業を中止します
茨戸水再生プラザ内運動施設（野球場）,北海道石狩市花川東1000,-,2020-5-31,2020-6-1,創成川水処理センター,011-736-6390,
